Filename,Original Text,Transcribed Text,WER,CER,MER,WIL,WIP
task_2_level_1_clean_001.wav,The Rosary drew to a soft melancholy close.,herosery true to a soft melncholy clothes,0.625,0.257142857,0.625,0.839285714,0.160714286
task_2_level_1_clean_002.wav,So you think I ought to have accepted their offer?,so you think i ought to accept it there offer,0.3,0.2,0.3,0.51,0.49
task_2_level_1_clean_003.wav,It need not be true but it MUST be spontaneous.,it need not be true but it wmust be spontaneous,0.1,0.027027027,0.1,0.19,0.81
task_2_level_1_clean_004.wav,At that the Time Traveller laughed cheerfully.,at that  the time travele laughed cheerly,0.285714286,0.128205128,0.285714286,0.489795918,0.510204082
task_2_level_1_clean_005.wav,Such a wrong is not easily forgotten.,sunch a wrong is not easinly forgotten,0.285714286,0.066666667,0.285714286,0.489795918,0.510204082
task_2_level_1_clean_006.wav,"There were no shops, no workshops, no sign of importations among them.",than we no shops no workshops no sign of imaitations amon them,0.333333333,0.160714286,0.333333333,0.555555556,0.444444444
task_2_level_1_clean_007.wav,Be careful how you play your hand alone!,be careful how you play eur hand alone,0.125,0.0625,0.125,0.234375,0.765625
task_2_level_1_clean_008.wav,"And it was the first orchid I ever had, and I loved you for it!",and it was the first orgat i ever had i loved  ri,0.333333333,0.276595745,0.333333333,0.444444444,0.555555556
task_2_level_1_clean_009.wav,The whole thing was virtually out between us.,the whole thing that was pertually outwet we us,0.5,0.243243243,0.444444444,0.652777778,0.347222222
task_2_level_1_clean_010.wav,"Nobody but me, till now, has ever heard.",nobody would me to now his ever heard,0.375,0.266666667,0.375,0.609375,0.390625
task_2_level_1_clean_011.wav,"He must weigh as much as I do, and he is shooting into the sky like an air balloon.",you must weigh as much as i do and he is shooting into the sky like an airwoom,0.157894737,0.126984127,0.157894737,0.251461988,0.748538012
task_2_level_1_clean_012.wav,"She had been for some time raised on her elbow, but then as if something had happened to her vitality she sank down till her head rested again on the sofa cushion.",she had been for some time raised on her delbow then as if something had happened her mi tality she sank down to he head restid again on the sova cushion,0.28125,0.1,0.28125,0.466733871,0.533266129
task_2_level_1_clean_013.wav,Civilization has been at work there.,civilization has been iporker,0.5,0.2,0.5,0.625,0.375
task_2_level_1_clean_014.wav,"If the poor Marionette had dangled there much longer, all hope would have been lost.",if the poor maryneck had dangled ther much longer all hope or be lost,0.333333333,0.235294118,0.333333333,0.523809524,0.476190476
task_2_level_1_clean_015.wav,The person looking straight in was the person who had already appeared to me.,the person looking straight inwas the person who had already appeared to me,0.142857143,0,0.142857143,0.208791209,0.791208791
task_2_level_1_clean_016.wav,"He did not know, and suggested that they should try to guess it.",he did not know and the suggested tha they should try to guess it,0.153846154,0.08,0.142857143,0.208791209,0.791208791
task_2_level_1_clean_017.wav,"They pry everywhere, they see everything, and they know what we want before we know it ourselves.",the pryeverywhere they seem everything and they now what we want before we dowt ourselves,0.411764706,0.076923077,0.411764706,0.607843137,0.392156863
task_2_level_1_clean_018.wav,Can you imagine what I felt as this conviction came home to me?,can you amagine what i felt wis conviction came om to me,0.307692308,0.14,0.307692308,0.480769231,0.519230769
task_2_level_1_clean_019.wav,The darkness seemed to grow luminous.,the darkness ind te groke inus,0.666666667,0.35483871,0.666666667,0.888888889,0.111111111
task_2_level_1_clean_020.wav,"You know, from such a man as yourself it is almost overwhelming.",you know from such a man as yourself it is almost overwhelming,0,0,0,0,1
task_2_level_1_clean_021.wav,"I am a very poor man, he sobbed.",iam a very poor man he sobbed,0.25,0,0.25,0.357142857,0.642857143
task_2_level_1_clean_022.wav,"I turned frantically to the Time Machine, and strove hard to readjust it.",i turned frantically to the time achine and strole hard to reajuste,0.307692308,0.084745763,0.307692308,0.480769231,0.519230769
task_2_level_1_clean_023.wav,The very banality and innocence of the first act only allowed the blow to fall afterward with more awful effect.,the very benamti in innocence the first act only allowed the blow to poll afterward with more harlfor effect,0.25,0.163043478,0.25,0.407894737,0.592105263
task_2_level_1_clean_024.wav,I will always remember that I love thee and all in our cave.,i will always remember that i love me and wol n no cave,0.307692308,0.170212766,0.307692308,0.520710059,0.479289941
task_2_level_1_clean_025.wav,The bird acts like a stupid branchier.,the burd acts like the stupid branch,0.428571429,0.225806452,0.428571429,0.673469388,0.326530612
task_2_level_1_clean_026.wav,"Now if father or I wanted to know whether it was raining we should just step over to the window, and look out and then come back and go do with really interesting conversation.",now e father or i wanted to go wether it was raining she tos stem over to ha vindow and look out and ha come back and go i to really interesting conversation,0.352941176,0.184397163,0.352941176,0.568627451,0.431372549
task_2_level_1_clean_027.wav,You know my studio at the top of the house?,you know my studio at the top of a house,0.1,0.090909091,0.1,0.19,0.81
task_2_level_1_clean_028.wav,"Right and left we can go, backward and forward freely enough, and men always have done so.",right and left we can go backward infore threely enough and men always have done sow,0.235294118,0.112676056,0.235294118,0.378676471,0.621323529
