Filename,Original Text,Transcribed Text,WER,CER,MER,WIL,WIP
task_2_level_2_clean_001.wav,Would you like to touch my hand?,whil you liht o touch my hant,0.5714285714285714,0.24,0.5714285714285714,0.8163265306122449,0.18367346938775508
task_2_level_2_clean_002.wav,"The summer air seemed charged with menace, and the silence that followed the noise of the car oddly ominous.",the summer ar seeme charged o menace  e silence had fall e was of the gar ondeon his,0.631578947368421,0.36363636363636365,0.631578947368421,0.8567251461988304,0.14327485380116958
task_2_level_2_clean_003.wav,"There are certain irremovable barriers between myself and them, and I must accept them.",there are cervin hero l marriers into te myself and i must av sed them,0.6428571428571429,0.375,0.6,0.8285714285714285,0.17142857142857143
task_2_level_2_clean_004.wav,"Then I asked in my turn, Did she tell you I was here?",then i asked it ito did she tell you i was here,0.23076923076923078,0.15384615384615385,0.23076923076923078,0.3589743589743589,0.6410256410256411
task_2_level_2_clean_005.wav,Welcome as one of the family!,alco as one of the fane,0.3333333333333333,0.34782608695652173,0.3333333333333333,0.5555555555555556,0.4444444444444444
task_2_level_2_clean_006.wav,What a material young lady it is.,wy meterial comlyes,1.0,0.5384615384615384,1.0,1.0,0.0
task_2_level_2_clean_007.wav,"Yes she is coming, she said and though her voice was steady, her hands trembled.",yes he is comin was i said no ver voice was stead inher hands i trem,0.7333333333333333,0.31746031746031744,0.6470588235294118,0.85,0.15000000000000002
task_2_level_2_clean_008.wav,He inquired after you the last time he called on me.,he inqire hafto he past ie ald on the,0.8181818181818182,0.4146341463414634,0.8181818181818182,0.9595959595959596,0.0404040404040404
task_2_level_2_clean_009.wav,"Her own exposure had unnerved her, and thoughts were colliding painfully in her brain.",her onexposure he a pearedto him thoughts wil lihte in e bring,0.7857142857142857,0.5070422535211268,0.7857142857142857,0.9464285714285714,0.05357142857142857
task_2_level_2_clean_010.wav,"I followed, but halting a little.",i followed e alto o,0.6666666666666666,0.5384615384615384,0.6666666666666666,0.8666666666666667,0.13333333333333333
task_2_level_2_clean_011.wav,"When we had selected one, we immediately carried it somewhere else and smoked it for the place was, on the whole, more gloomy and less inviting than any in the house.",when we had selebred   medin ecarri it somewhere else a swol the place was on the old n less en vited e nose,0.6129032258064516,0.4393939393939394,0.6129032258064516,0.7980364656381487,0.20196353436185133
task_2_level_2_clean_012.wav,He spent all that day roaming over the house.,hes spent all at day  pase,0.6666666666666666,0.5277777777777778,0.6666666666666666,0.8333333333333334,0.16666666666666666
task_2_level_2_clean_013.wav,I only wish I could spare you all this!,i only shake e perior over his,0.7777777777777778,0.5666666666666667,0.7777777777777778,0.9365079365079365,0.06349206349206349
task_2_level_2_clean_014.wav,The clergyman was conscious of some bitter disappointment which he could not keep out of his voice.,the clergyman is conscious of esel itter disappointment she could not keep otswoce,0.5294117647058824,0.21951219512195122,0.5294117647058824,0.7104072398190044,0.2895927601809955
task_2_level_2_clean_015.wav,"If I might say so, there is something almost blasphemous in this horror of the elements.",if i might say so there's something almost plasis this worror be ol ass,0.375,0.28169014084507044,0.375,0.5833333333333334,0.41666666666666663
task_2_level_2_clean_016.wav,"In all thy ways acknowledge Him, and He shall direct thy paths.",in all thy ways of comligen he shal erecer tans,0.5833333333333334,0.44,0.5833333333333334,0.7916666666666666,0.20833333333333334
task_2_level_2_clean_017.wav,There was something august in the stillness of the room.,there was someting august i i stillise ro,0.7,0.30434782608695654,0.7,0.8875,0.11249999999999999
task_2_level_2_clean_018.wav,"The possibility he hinted, however remote, was enough to stop her short, actually and mentally.",the possibilities o into to however elone was anough to stop her shortn action omentily,0.6666666666666666,0.2727272727272727,0.625,0.84,0.16000000000000003
task_2_level_2_clean_019.wav,I hope you are quite well.,i had ben ron wie ron,0.8333333333333334,0.75,0.8333333333333334,0.9722222222222222,0.027777777777777776
task_2_level_2_clean_020.wav,It was the beauty of it.,it was the pely on int,0.5,0.3333333333333333,0.5,0.75,0.25
task_2_level_2_clean_021.wav,"For the air rang with the shrieks of Minnie, who was being scalped with a teaspoon.",t the air wan e shris of the ine who was beeng scalped o teaswol,0.6875,0.4090909090909091,0.6875,0.8958333333333334,0.10416666666666666
task_2_level_2_clean_022.wav,"But it was not, he saw with surprise, the silence of confusion.",but it was not he saw the surprise the silence a contusion,0.25,0.12244897959183673,0.25,0.4375,0.5625
task_2_level_2_clean_023.wav,Then the old walls of the laboratory came round me.,on they old  walls of the laboratory tanron,0.5,0.2682926829268293,0.5,0.6875,0.3125
task_2_level_2_clean_024.wav,He had swallowed so much salt water that he was swollen like a balloon.,he  swallowed so much so har an a sworn like,0.6428571428571429,0.47368421052631576,0.6428571428571429,0.8214285714285714,0.17857142857142858
task_2_level_2_clean_025.wav,"However, I ought to be sorry for myself, too, just now.",however i mougt to be sorreful myself to ichis now,0.45454545454545453,0.24390243902439024,0.45454545454545453,0.6727272727272728,0.3272727272727272
task_2_level_2_clean_026.wav,It did not occur to him to speak.,it did not ever eno the sweep,0.625,0.56,0.625,0.8392857142857143,0.1607142857142857
task_2_level_2_clean_027.wav,I wrote to you and you would not let me come.,i wrote to do and you would not let me come,0.09090909090909091,0.058823529411764705,0.09090909090909091,0.17355371900826455,0.8264462809917354
task_2_level_2_clean_028.wav,"Well, old chap, he inquired, what can I do for you?",wel ill chap en e my wo can i do re ,0.7272727272727273,0.5135135135135135,0.6666666666666666,0.8677685950413223,0.1322314049586777
task_2_level_2_clean_029.wav,She had received a shock and had received an impression by means of that girl.,she had received a shop at received in impression o en to that girl,0.4666666666666667,0.2222222222222222,0.4666666666666667,0.6952380952380952,0.30476190476190473
task_2_level_2_clean_030.wav,"She is extravagant, naturally, her father said.",she is extravlant catr on e father side,0.7142857142857143,0.3157894736842105,0.625,0.8392857142857143,0.1607142857142857
task_2_level_2_clean_031.wav,It was a conference in the recess of a window.,it was a conference e recessible indow,0.6,0.2222222222222222,0.6,0.7714285714285715,0.22857142857142856
task_2_level_2_clean_032.wav,You put us all to shame.,he put us all to shade,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.5555555555555556,0.4444444444444444
task_2_level_2_clean_033.wav,Are you trying to be ironic?,a you try bear romi,0.8333333333333334,0.5,0.8333333333333334,0.9666666666666667,0.03333333333333333
